bucket_type,bucket_value,observations,average_raw_next_mid_change,average_raw_2step_mid_change,average_directional_next_capture,average_directional_2step_capture,average_directional_eventual_capture,positive_capture_rate,average_max_adverse_move,average_next_snapshot_markout,average_markout_2_steps,sign_hit_rate
edge_bucket,0.01-0.02,10,0.02,-0.022,0.152,0.158,0.448,1.0,0.1055,0.02,-0.022,1.0
edge_bucket,0.02-0.05,9,0.0575,-0.021429,0.025,-0.01,-0.224444,0.375,0.283889,0.0575,-0.021429,0.375
market_type,away_or_draw,2,0.115,-0.13,0.165,-0.03,0.05,1.0,0.27,0.115,-0.13,1.0
market_type,away_win,4,0.14,0.223333,0.09,0.196667,0.1575,0.5,0.17,0.14,0.223333,0.5
market_type,draw,3,-0.055,-0.023333,0.025,0.05,0.283333,0.5,0.096667,-0.055,-0.023333,0.5
market_type,either_team_wins,2,0.035,0.0,0.005,0.08,0.04,0.5,0.125,0.035,0.0,0.5
market_type,home_or_draw,4,-0.1275,-0.213333,0.1225,0.18,0.1575,0.75,0.17,-0.1275,-0.213333,0.75
market_type,home_win,4,0.105,-0.0175,0.12,0.0325,0.0425,1.0,0.2925,0.105,-0.0175,1.0
match_phase,inplay,10,0.071111,-0.03125,0.133333,0.11375,-0.008,0.444444,0.1915,0.071111,-0.03125,0.444444
match_phase,pregame,9,0.002222,-0.013333,0.057778,0.066667,0.282222,1.0,0.188333,0.002222,-0.013333,1.0
